,0,1,2
0,0.966,0.011,0.023
1,0.954,0.023,0.023
2,0.961,0.014,0.025
3,0.967,0.014,0.019
4,0.956,0.014,0.03
5,0.957,0.021,0.022
6,0.958,0.014,0.028
7,0.953,0.03,0.017
8,0.955,0.021,0.024
9,0.961,0.015,0.024
10,0.963,0.014,0.023
11,0.957,0.022,0.021
12,0.952,0.017,0.031
13,0.964,0.01,0.026
14,0.953,0.019,0.028
15,0.956,0.019,0.025
16,0.959,0.017,0.024
17,0.955,0.013,0.032
18,0.965,0.012,0.023
19,0.955,0.024,0.021
20,0.956,0.021,0.023
21,0.959,0.018,0.023
22,0.944,0.024,0.032
23,0.94,0.034,0.026
24,0.934,0.029,0.037
25,0.942,0.027,0.031
26,0.929,0.033,0.038
27,0.925,0.04,0.035
28,0.912,0.037,0.051
29,0.908,0.039,0.053
30,0.897,0.045,0.058
31,0.896,0.056,0.048
32,0.879,0.069,0.052
33,0.858,0.075,0.067
34,0.87,0.06,0.07
35,0.849,0.069,0.082
36,0.838,0.094,0.068
37,0.827,0.08,0.093
38,0.826,0.08,0.094
39,0.828,0.082,0.09
40,0.805,0.094,0.101
41,0.804,0.093,0.103
42,0.811,0.09,0.099
43,0.815,0.086,0.099
44,0.77,0.121,0.109
45,0.781,0.085,0.134
46,0.791,0.116,0.093
47,0.78,0.116,0.104
48,0.749,0.125,0.126
49,0.759,0.112,0.129
50,0.739,0.115,0.146
51,0.748,0.109,0.143
52,0.707,0.149,0.144
53,0.702,0.125,0.173
54,0.681,0.152,0.167
55,0.685,0.159,0.156
56,0.657,0.16,0.183
57,0.653,0.154,0.193
58,0.648,0.156,0.196
59,0.605,0.176,0.219
60,0.603,0.185,0.212
61,0.58,0.166,0.254
62,0.614,0.162,0.224
63,0.59,0.176,0.234
64,0.585,0.17,0.245
65,0.544,0.186,0.27
66,0.553,0.186,0.261
67,0.528,0.189,0.283
68,0.533,0.175,0.292
69,0.502,0.171,0.327
70,0.509,0.193,0.298
71,0.469,0.202,0.329
72,0.463,0.192,0.345
73,0.449,0.179,0.372
74,0.443,0.214,0.343
75,0.421,0.21,0.369
76,0.406,0.213,0.381
77,0.386,0.244,0.37
78,0.387,0.197,0.416
79,0.376,0.206,0.418
80,0.365,0.239,0.396
81,0.352,0.21,0.438
82,0.384,0.179,0.437
83,0.377,0.212,0.411
84,0.349,0.216,0.435
85,0.319,0.239,0.442
86,0.348,0.233,0.419
87,0.356,0.192,0.452
88,0.327,0.22,0.453
89,0.36,0.189,0.451
90,0.331,0.211,0.457
91,0.337,0.209,0.452
92,0.337,0.213,0.448
93,0.309,0.22,0.469
94,0.317,0.206,0.475
95,0.315,0.207,0.472
96,0.331,0.208,0.452
97,0.305,0.211,0.473
98,0.298,0.203,0.485
99,0.293,0.198,0.489
100,0.302,0.202,0.473
101,0.301,0.214,0.456
102,0.301,0.215,0.443
103,0.309,0.208,0.43
104,0.296,0.167,0.472
105,0.302,0.181,0.44
106,0.309,0.185,0.419
107,0.298,0.145,0.452
108,0.279,0.166,0.431
109,0.268,0.178,0.41
110,0.262,0.157,0.412
111,0.263,0.139,0.4
112,0.224,0.176,0.382
113,0.227,0.147,0.385
114,0.235,0.157,0.331
115,0.218,0.144,0.327
116,0.199,0.124,0.32
117,0.184,0.132,0.295
118,0.16,0.128,0.284
119,0.157,0.091,0.288
120,0.147,0.083,0.27
121,0.157,0.086,0.228
122,0.132,0.081,0.217
123,0.133,0.066,0.202
124,0.113,0.068,0.185
125,0.1,0.062,0.17
126,0.086,0.055,0.151
127,0.076,0.056,0.137
128,0.076,0.045,0.115
129,0.063,0.034,0.107
130,0.059,0.023,0.101
131,0.049,0.026,0.085
132,0.035,0.029,0.081
133,0.036,0.024,0.066
134,0.044,0.019,0.044
135,0.032,0.021,0.036
136,0.023,0.013,0.046
137,0.023,0.01,0.038
138,0.02,0.015,0.027
139,0.011,0.01,0.027
140,0.01,0.006,0.023
141,0.009,0.006,0.012
142,0.006,0.008,0.008
143,0.007,0.005,0.006
144,0.002,0.003,0.008
145,0.006,0.0,0.006
146,0.0,0.001,0.009
147,0.004,0.001,0.004
148,0.005,0.0,0.002
149,0.003,0.001,0.001
150,0.002,0.001,0.0
151,0.002,0.0,0.001
152,0.002,0.0,0.0
153,0.0,0.001,0.001
154,0.001,0.0,0.001
155,0.001,0.0,0.001
156,0.0,0.0,0.002
157,0.001,0.0,0.0
158,0.001,0.0,0.0
159,0.0,0.001,0.0
160,0.0,0.001,0.0
161,0.0,0.0,0.001
162,0.0,0.0,0.001
163,0.0,0.001,0.0
164,0.0,0.0,0.001
165,0.0,0.0,0.001
166,0.0,0.001,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
