,0,1,2
0,0.943,0.017,0.04
1,0.932,0.022,0.046
2,0.933,0.03,0.037
3,0.937,0.027,0.036
4,0.929,0.027,0.044
5,0.928,0.027,0.045
6,0.932,0.026,0.042
7,0.926,0.024,0.05
8,0.943,0.02,0.037
9,0.938,0.029,0.033
10,0.928,0.02,0.052
11,0.919,0.044,0.037
12,0.924,0.027,0.049
13,0.928,0.027,0.045
14,0.919,0.03,0.051
15,0.926,0.03,0.044
16,0.911,0.034,0.055
17,0.918,0.034,0.048
18,0.907,0.038,0.055
19,0.895,0.058,0.047
20,0.899,0.051,0.05
21,0.888,0.046,0.066
22,0.892,0.042,0.066
23,0.89,0.054,0.056
24,0.858,0.068,0.074
25,0.863,0.054,0.083
26,0.855,0.068,0.077
27,0.857,0.059,0.084
28,0.872,0.053,0.075
29,0.828,0.079,0.093
30,0.844,0.08,0.076
31,0.825,0.068,0.107
32,0.81,0.098,0.092
33,0.805,0.091,0.104
34,0.781,0.104,0.115
35,0.79,0.109,0.101
36,0.746,0.118,0.136
37,0.767,0.113,0.12
38,0.765,0.107,0.128
39,0.733,0.133,0.134
40,0.717,0.131,0.152
41,0.708,0.125,0.167
42,0.681,0.131,0.188
43,0.661,0.147,0.192
44,0.662,0.147,0.191
45,0.66,0.137,0.203
46,0.641,0.135,0.224
47,0.624,0.147,0.229
48,0.611,0.168,0.221
49,0.577,0.142,0.281
50,0.591,0.158,0.251
51,0.575,0.154,0.271
52,0.573,0.167,0.26
53,0.564,0.173,0.263
54,0.557,0.175,0.268
55,0.542,0.166,0.292
56,0.527,0.194,0.279
57,0.495,0.192,0.313
58,0.505,0.192,0.303
59,0.5,0.187,0.313
60,0.466,0.215,0.319
61,0.489,0.194,0.317
62,0.489,0.194,0.317
63,0.476,0.189,0.335
64,0.46,0.207,0.333
65,0.488,0.203,0.309
66,0.47,0.194,0.336
67,0.486,0.168,0.346
68,0.466,0.192,0.342
69,0.508,0.178,0.314
70,0.438,0.211,0.351
71,0.47,0.207,0.323
72,0.453,0.193,0.354
73,0.441,0.213,0.346
74,0.461,0.203,0.336
75,0.458,0.176,0.366
76,0.44,0.19,0.37
77,0.466,0.171,0.363
78,0.458,0.194,0.348
79,0.446,0.175,0.379
80,0.48,0.16,0.36
81,0.462,0.186,0.352
82,0.441,0.193,0.366
83,0.455,0.173,0.372
84,0.452,0.168,0.38
85,0.447,0.162,0.391
86,0.459,0.171,0.37
87,0.435,0.176,0.389
88,0.446,0.166,0.388
89,0.455,0.155,0.39
90,0.418,0.166,0.416
91,0.444,0.183,0.373
92,0.441,0.157,0.402
93,0.435,0.164,0.401
94,0.429,0.164,0.407
95,0.469,0.156,0.375
96,0.445,0.182,0.373
97,0.449,0.162,0.389
98,0.42,0.163,0.417
99,0.454,0.157,0.389
100,0.455,0.167,0.378
101,0.436,0.172,0.391
102,0.462,0.162,0.375
103,0.425,0.158,0.416
104,0.434,0.164,0.401
105,0.432,0.166,0.401
106,0.446,0.151,0.401
107,0.416,0.172,0.405
108,0.432,0.169,0.388
109,0.413,0.181,0.393
110,0.434,0.164,0.384
111,0.414,0.177,0.388
112,0.403,0.171,0.399
113,0.406,0.152,0.411
114,0.417,0.152,0.394
115,0.402,0.156,0.394
116,0.389,0.155,0.393
117,0.414,0.138,0.375
118,0.405,0.162,0.348
119,0.365,0.14,0.389
120,0.391,0.135,0.351
121,0.366,0.158,0.327
122,0.369,0.134,0.33
123,0.321,0.14,0.349
124,0.324,0.139,0.317
125,0.313,0.147,0.294
126,0.325,0.122,0.279
127,0.288,0.125,0.282
128,0.29,0.116,0.255
129,0.273,0.107,0.25
130,0.236,0.104,0.259
131,0.258,0.084,0.227
132,0.216,0.085,0.243
133,0.226,0.079,0.213
134,0.225,0.068,0.191
135,0.195,0.068,0.183
136,0.187,0.073,0.15
137,0.15,0.071,0.154
138,0.175,0.046,0.123
139,0.14,0.039,0.127
140,0.115,0.045,0.119
141,0.103,0.04,0.102
142,0.09,0.036,0.099
143,0.089,0.032,0.082
144,0.07,0.031,0.07
145,0.073,0.017,0.065
146,0.056,0.027,0.048
147,0.05,0.02,0.045
148,0.042,0.013,0.039
149,0.035,0.016,0.034
150,0.032,0.011,0.03
151,0.025,0.01,0.023
152,0.026,0.007,0.02
153,0.017,0.007,0.022
154,0.017,0.007,0.014
155,0.011,0.006,0.014
156,0.013,0.001,0.011
157,0.008,0.004,0.008
158,0.007,0.005,0.006
159,0.007,0.001,0.007
160,0.004,0.003,0.005
161,0.007,0.0,0.002
162,0.005,0.0,0.001
163,0.002,0.002,0.002
164,0.002,0.001,0.001
165,0.001,0.0,0.001
166,0.0,0.0,0.001
167,0.0,0.0,0.001
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
